                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4207,                 3.8859,                 3.7292,                 1.6041,                0.59139,                    0.5,                0.41458,                0.37312,                0.59139,                    0.5,                0.41458,                0.33167,                0.56614,                 1.1398,                 3.0986,                  1.317,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                0.78194,                 1.1994,                 2.0104,                 1.0933,                0.93984,                      1,                  0.995,                  0.995,                0.93984,                      1,                  0.995,                 0.8955,                0.26593,                0.80176,                 2.4114,                0.84494,             0.00011284,             0.00011284,             0.00011284
                      3,                0.66085,                 0.9078,                 2.0938,                 1.0609,                  0.884,                      1,                  0.995,                  0.796,                  0.884,                      1,                  0.995,                0.74901,                0.73644,                0.58535,                 3.2929,                 1.0074,             0.00017127,             0.00017127,             0.00017127
                      4,                0.62502,                0.84427,                 1.6938,                 1.0026,                  0.884,                      1,                  0.995,                  0.796,                  0.884,                      1,                  0.995,                0.74901,                0.73644,                0.58535,                 3.2929,                 1.0074,              0.0002253,              0.0002253,              0.0002253
                      5,                0.65646,                0.46195,                 1.5116,                0.97851,                 0.6664,                      1,                  0.995,                0.84575,                 0.6664,                      1,                  0.995,                  0.796,                0.81971,                0.17612,                 1.9907,                0.90443,             0.00027492,             0.00027492,             0.00027492
                      6,                 0.5833,                 0.5312,                 1.2697,                0.90561,                 0.6664,                      1,                  0.995,                0.84575,                 0.6664,                      1,                  0.995,                  0.796,                0.81971,                0.17612,                 1.9907,                0.90443,             0.00032015,             0.00032015,             0.00032015
                      7,                0.81655,                0.37633,                 2.3485,                 1.0093,                0.94604,                      1,                  0.995,                0.74625,                0.94604,                      1,                  0.995,                0.69688,                0.90838,                0.07965,                 7.3749,                 1.1221,             0.00036097,             0.00036097,             0.00036097
                      8,                0.92698,                0.41473,                 2.5799,                 1.0464,                0.94604,                      1,                  0.995,                0.74625,                0.94604,                      1,                  0.995,                0.69688,                0.90838,                0.07965,                 7.3749,                 1.1221,              0.0003974,              0.0003974,              0.0003974
                      9,                0.98356,                0.64842,                 3.0628,                 1.0655,                0.94604,                      1,                  0.995,                0.74625,                0.94604,                      1,                  0.995,                0.69688,                0.90838,                0.07965,                 7.3749,                 1.1221,             0.00042942,             0.00042942,             0.00042942
                     10,                 1.0245,                0.49884,                 3.1119,                 1.0705,                      1,                    0.5,                0.51823,                0.41251,                      1,                    0.5,                0.51823,                0.41251,                0.93819,                0.04366,                 7.5461,                 1.0251,             0.00045704,             0.00045704,             0.00045704
                     11,                 0.9656,                0.61123,                 3.1113,                 1.0629,                      1,                    0.5,                0.51823,                0.41251,                      1,                    0.5,                0.51823,                0.41251,                0.93819,                0.04366,                 7.5461,                 1.0251,             0.00048026,             0.00048026,             0.00048026
                     12,                 1.0419,                0.84442,                 2.7551,                  1.024,                      1,                    0.5,                0.51823,                0.41251,                      1,                    0.5,                0.51823,                0.41251,                0.93819,                0.04366,                 7.5461,                 1.0251,             0.00049908,             0.00049908,             0.00049908
                     13,                  1.176,                0.40839,                 2.9661,                 1.2295,                      1,                    0.5,                0.51823,                0.41251,                      1,                    0.5,                0.51823,                0.41251,                0.93819,                0.04366,                 7.5461,                 1.0251,              0.0005135,              0.0005135,              0.0005135
                     14,                 1.1454,                0.43282,                 2.6097,                 1.1505,                0.72256,                      1,                  0.995,                0.64675,                0.72256,                      1,                  0.995,                0.64675,                 1.3424,                0.07222,                 3.2756,                 1.5462,             0.00052352,             0.00052352,             0.00052352
                     15,                  1.229,                0.56862,                 1.8965,                   1.37,                0.72256,                      1,                  0.995,                0.64675,                0.72256,                      1,                  0.995,                0.64675,                 1.3424,                0.07222,                 3.2756,                 1.5462,             0.00052914,             0.00052914,             0.00052914
                     16,                 1.0802,                0.39807,                 1.5753,                 1.1819,                0.72256,                      1,                  0.995,                0.64675,                0.72256,                      1,                  0.995,                0.64675,                 1.3424,                0.07222,                 3.2756,                 1.5462,             0.00053036,             0.00053036,             0.00053036
                     17,                 1.2119,                0.60827,                 2.3221,                    1.4,                0.72256,                      1,                  0.995,                0.64675,                0.72256,                      1,                  0.995,                0.64675,                 1.3424,                0.07222,                 3.2756,                 1.5462,             0.00052717,             0.00052717,             0.00052717
                     18,                  1.125,                0.32745,                 1.7406,                 1.3755,                0.72256,                      1,                  0.995,                0.64675,                0.72256,                      1,                  0.995,                0.64675,                 1.3424,                0.07222,                 3.2756,                 1.5462,             0.00051959,             0.00051959,             0.00051959
                     19,                 1.1191,                0.38222,                 1.5264,                 1.2706,                0.72256,                      1,                  0.995,                0.64675,                0.72256,                      1,                  0.995,                0.64675,                 1.3424,                0.07222,                 3.2756,                 1.5462,              0.0005076,              0.0005076,              0.0005076
                     20,                0.92837,                0.44341,                 1.8952,                 1.1905,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00049121,             0.00049121,             0.00049121
                     21,                0.52004,                0.52079,                 4.2761,                 1.0417,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00047043,             0.00047043,             0.00047043
                     22,                0.59526,                0.78686,                 3.7688,                0.97505,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00044524,             0.00044524,             0.00044524
                     23,                0.65768,                0.23357,                 4.2269,                 1.0162,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00041565,             0.00041565,             0.00041565
                     24,                0.69182,                0.52259,                 4.1075,                 1.0164,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00038166,             0.00038166,             0.00038166
                     25,                  0.542,                0.62436,                 4.2639,                 0.9512,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00034327,             0.00034327,             0.00034327
                     26,                0.62031,                0.31238,                 4.8338,                 1.0188,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00029172,             0.00029172,             0.00029172
                     27,                0.51055,                0.59694,                 4.4312,                 1.1118,                0.44816,                      1,                  0.995,                0.74625,                0.44816,                      1,                  0.995,                0.74625,                0.71994,                0.05985,                 10.263,                 1.1792,             0.00029172,             0.00029172,             0.00029172
                     28,                0.57322,                0.66189,                 3.2668,                 1.0344,                0.82565,                      1,                  0.995,                  0.796,                0.82565,                      1,                  0.995,                0.84575,                0.79975,                0.15942,                 2.5987,                 1.1777,             0.00023671,             0.00023671,             0.00023671
                     29,                0.57743,                0.28059,                 1.6255,                0.98434,                0.82565,                      1,                  0.995,                  0.796,                0.82565,                      1,                  0.995,                0.84575,                0.79975,                0.15942,                 2.5987,                 1.1777,              0.0001817,              0.0001817,              0.0001817
                     30,                0.67083,                0.26279,                 1.7041,                 1.0374,                0.82565,                      1,                  0.995,                  0.796,                0.82565,                      1,                  0.995,                0.84575,                0.79975,                0.15942,                 2.5987,                 1.1777,             0.00012669,             0.00012669,             0.00012669
